converged,reason,fun,start_seed,start_theta_eav,start_theta0,market,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2
True,,,91,0.00016266959663909186,5.808081226529151e-06,ID,5.808081226529151e-06,2.2693266615161984e-07,0.00016266959663909186,72430.74481688104,0.0,0.00040685674595126173
True,,,92,8.820745077614727e-06,4.185185500842688e-05,ID,3.96951924203523e-05,1.0402389431827278e-06,-2.4388217067545546e-05,75513.034423216,12.0,0.00040685674595126173
True,,,93,1.7369619378402427e-05,0.0004568871728161092,ID,0.0003254869919817224,2.9735294660067113e-07,0.00034246831336839304,76434.97894333111,26.0,0.00040685674595126173
True,,,94,8.887438012222839e-05,4.4347040140980115e-06,ID,0.0002474675244813882,2.435895733344547e-07,0.0004613327019570729,76277.89455328241,25.0,0.00040685674595126173
True,,,95,4.077561620074374e-06,2.8931761219032152e-05,ID,0.0003074861112368297,3.064330322399064e-07,0.0005472168057422473,76316.0758760268,35.0,0.00040685674595126173
True,,,96,3.0188021034573273e-05,9.289777646360182e-05,ID,0.00029089454475333916,2.3171049336644145e-07,0.0003579624542077503,76324.49493643161,30.0,0.00040685674595126173
False,penalty-trap,7323835316066.442,97,2.5238659584134518e-05,6.60455706229298e-05,ID,,,,,,
True,,,98,1.5662615690206837e-06,0.0003522881213297286,ID,0.00034678361916989144,1.567318941650015e-07,0.00012868452830068632,76331.66353120633,2.0,0.00040685674595126173
True,,,99,2.4079408804083464e-05,2.3214621752418283e-05,ID,0.0003140883632125508,2.2936823394012895e-07,0.0005199826888135032,76389.5482856153,38.0,0.00040685674595126173
True,,,100,6.0205092041504755e-06,0.00017930416381399173,ID,0.00030550515358221267,1.9472954543550727e-07,5.6915475683220454e-05,76138.77758639435,7.0,0.00040685674595126173
False,penalty-trap,10000000000000.0,101,0.0001312702360366506,0.0003520188588678058,ID,,,,,,
True,,,102,0.00016730570490443045,2.7027837635823884e-06,ID,0.0002434239395819407,4.3115295038698177e-07,6.912096689599837e-05,76074.00458453981,13.0,0.00040685674595126173
False,penalty-trap,77449266145.67984,103,3.0991228821275304e-06,6.981080821826704e-06,ID,,,,,,
True,,,104,3.8301630798332074e-06,0.00018334170900626996,ID,0.00027095722922539485,2.2557006408676979e-07,0.0008394409339948519,76428.4686408818,30.0,0.00040685674595126173
True,,,105,1.8241892781329906e-06,5.278008220492633e-05,ID,0.00026499081161936996,2.5434978174745385e-07,0.0001299140497819782,76274.08873991176,21.0,0.00040685674595126173
False,penalty-trap,10000000000000.0,106,2.144853296930741e-06,0.00044821804182458786,ID,,,,,,
False,penalty-trap,6241741493816.023,107,2.274432821435048e-05,5.628322744529351e-05,ID,,,,,,
True,,,108,2.080767527242927e-06,0.00020431565152115977,ID,0.0003152214517048114,2.1656787941539247e-07,0.0002886029059816972,76524.30233578254,30.0,0.00040685674595126173
True,,,109,0.00010578712859517219,2.9345669354419315e-05,ID,0.00026638538679095214,2.661195868344214e-07,0.0003795967491240103,76382.46933956778,12.0,0.00040685674595126173
True,,,110,8.376818321707503e-05,0.0003246176934073519,ID,0.000280724786730877,2.4075634170034294e-07,0.000861661795567317,76395.63365670567,24.0,0.00040685674595126173
False,penalty-trap,10000000000000.0,111,2.3205049976671943e-05,2.5985279383115295e-06,ID,,,,,,
True,,,112,0.00014308549672577864,2.0621458705792544e-06,ID,0.00042194717115012157,1.4163149752469735e-07,0.00011102253124754275,76254.15133856925,15.0,0.00040685674595126173
False,penalty-trap,76745592137.6435,113,2.458727174918183e-06,1.5505586275353835e-06,ID,,,,,,
False,penalty-trap,10000000000000.0,114,1.4780564656567723e-05,9.216130578437284e-05,ID,,,,,,
True,,,115,2.9423611170741504e-05,7.86301782504814e-05,ID,0.0002918776609837662,2.6911619624951413e-07,0.00022081720317985198,76342.31554721257,13.0,0.00040685674595126173
True,,,116,0.0003831732133957885,2.9189108289341317e-06,ID,0.0002740086641510542,2.721130721878963e-07,0.0004572236026530183,76439.09914251254,30.0,0.00040685674595126173
False,penalty-trap,10000000000000.0,117,4.269164587611489e-05,0.00022994845390963728,ID,,,,,,
True,,,118,5.611907947569363e-06,0.00032501502193669655,ID,0.0003046976304716818,3.637979475982845e-07,0.000519374220280051,76511.36521692156,31.0,0.00040685674595126173
True,,,119,0.0001623692163490094,0.00038094664653968226,ID,0.00030212446268135376,3.580206640389331e-07,0.0004668883859895424,76301.3578043084,17.0,0.00040685674595126173
