date,post_widening,stock_count,event_count,control_count,event_rate,upper_event_count,lower_event_count,touch_count,near_close_count,event_next_abs_mean,control_next_abs_mean,diff_next_abs,event_side_adj_next_ret_mean,event_continuation_share
2016-06-03,1,867,9,858,0.010380622837370242,9,0,8,6,0.05389140520563543,0.01224302560487149,0.04164837960076394,0.033932942229065476,0.5555555555555556
2016-06-06,1,868,14,854,0.016129032258064516,12,2,13,11,0.03080140756258442,0.010365797815376327,0.020435609747208094,-0.002078742697106166,0.42857142857142855
2016-06-07,1,873,9,864,0.010309278350515464,7,2,8,8,0.032737230639115246,0.009577397964232444,0.0231598326748828,-0.005646406243429401,0.4444444444444444
2016-06-08,1,871,3,868,0.003444316877152698,3,0,3,2,,,,,
2016-06-13,1,872,11,861,0.01261467889908257,3,8,10,7,0.03513003505849002,0.00952333975631812,0.025606695302171904,0.012901439583012198,0.45454545454545453
2016-06-14,1,871,7,864,0.008036739380022962,4,3,6,7,0.038702102302857214,0.008232909873552942,0.030469192429304272,0.029558464849664724,0.7142857142857143
2016-06-15,1,869,9,860,0.010356731875719217,6,3,9,4,0.03906008798649138,0.009873232277516795,0.029186855708974585,0.0234215122737888,0.4444444444444444
2016-06-16,1,876,5,871,0.005707762557077625,5,0,5,3,0.03757556362001867,0.009571772425271371,0.028003791194747295,-0.00094704417706796,0.4
2016-06-17,1,874,6,868,0.006864988558352402,6,0,6,3,0.019875807814489756,0.011110284454044222,0.008765523360445534,-0.0019963910315779873,0.5
2016-06-20,1,872,15,857,0.017201834862385322,14,1,14,9,0.025165605862816198,0.009216519842370891,0.015949086020445306,-0.013752932027778336,0.2
2016-06-21,1,868,9,859,0.010368663594470046,7,2,9,8,0.0452032517577986,0.009185402763149178,0.03601784899464942,0.02288258163342403,0.6666666666666666
2016-06-22,1,866,9,857,0.010392609699769052,7,2,8,6,0.0461768216028634,0.009286069129900798,0.0368907524729626,0.02205886925019105,0.5555555555555556
2016-06-23,1,863,10,853,0.011587485515643106,8,2,8,7,0.048944604128745114,0.023506335619913075,0.02543826850883204,0.013439453837955858,0.4
2016-06-24,1,855,15,840,0.017543859649122806,8,7,13,5,0.053450665203186636,0.012089548226887062,0.04136111697629957,0.010861588207434854,0.4666666666666667
