date,news_count,gdelt_total,news_share,log_news_share,news_z
2025-11-11,3032,173808,0.01744453650004603,-4.04872877391127,2.315804913446247
2025-11-12,3093,205919,0.015020469213622833,-4.198341393878236,1.3122938524633172
2025-11-13,2593,159637,0.016243101536611185,-4.120086981164793,1.8088769566147556
2025-11-14,2694,197157,0.013664237130814529,-4.292973287665071,0.6750910380259074
2025-11-15,2299,167820,0.013699201525443927,-4.290417730660879,0.6894900522767253
2025-11-16,2204,159044,0.013857800357133875,-4.27890700220675,0.7652782010744927
2025-11-17,2541,200469,0.012675276476662226,-4.368101916988369,0.19012533292397624
2025-11-18,2908,204958,0.01418827271928883,-4.25533952042798,0.9192204696619009
2025-11-19,2077,138388,0.015008526750874353,-4.199136789328168,1.2751793595705934
2025-11-20,2846,180180,0.015795315795315797,-4.148041851555633,1.5945600594833418
2025-11-21,2566,179273,0.01431336564903806,-4.246561517467783,0.9460742497553295
2025-11-22,2880,154324,0.018662035717062802,-3.9812639942795864,2.641856856092664
2025-11-23,2758,134268,0.020541007537164476,-3.8853320232424746,3.203181237694418
2025-11-24,1969,189397,0.010396151998183709,-4.566319541476407,-1.1026947022486382
2025-11-25,1781,182677,0.009749448480104228,-4.630544561715462,-1.4931864654457498
2025-11-26,1920,183381,0.010470005071408706,-4.559240769724575,-1.0475278145662237
2025-11-27,1598,127071,0.012575646685711138,-4.375993138019524,0.08030620728460712
2025-11-28,2265,190322,0.011900883765408097,-4.431142615621556,-0.27141257138018143
2025-11-29,1652,153375,0.010770986145069274,-4.530899227932289,-0.899924078711764
2025-11-30,1447,147416,0.009815759483366798,-4.623766074383213,-1.4824976318728098
2025-12-01,1424,148794,0.009570278371439709,-4.649092986015585,-1.6286537944790873
2025-12-02,2059,193417,0.010645393114359131,-4.542628051834388,-0.9542534011216587
2025-12-03,2147,214441,0.01001207791420484,-4.603963123360904,-1.3286720212788212
2025-12-04,1927,155292,0.012408881333230301,-4.389342826195304,0.010763249828948038
2025-12-05,1230,125203,0.009824045749702482,-4.622922250655938,-1.4366609729940087
2025-12-06,7,494,0.01417004048582996,-4.256625368132609,0.8409613792760461
2025-12-07,1320,140932,0.009366219169528567,-4.670645767947002,-1.7224628930559325
2025-12-08,1883,181068,0.010399407957231536,-4.5660064016445,-1.0597751887634235
2025-12-09,1624,159244,0.010198186430885936,-4.5855453753939,-1.1750696939871657
