date,rv_aligned,active_delivery,n_returns,anchor_ok,rolled
2023-06-09,3.780510845102076e-05,202306,229,True,False
2023-06-12,4.761474171000295e-05,202306,230,True,False
2023-06-13,3.64667603645558e-05,202306,229,True,False
2023-06-14,6.631565156111248e-05,202306,229,True,False
2023-06-15,5.672829310374918e-05,202306,230,True,False
2023-06-16,5.1425056355585756e-05,202306,229,True,False
2023-06-19,3.8591994491720396e-05,202306,229,True,False
2023-06-20,3.1943918762915284e-05,202306,228,True,False
2023-06-21,2.7921577628036676e-05,202306,229,True,False
2023-06-26,3.715866030390739e-05,202307,230,True,True
2023-06-27,3.9089565520708256e-05,202307,229,True,False
2023-06-28,3.470393915065019e-05,202307,229,True,False
2023-06-29,0.00010245135193384962,202307,229,True,False
2023-06-30,5.9678033873109375e-05,202307,229,True,False
2023-07-03,3.704021235573162e-05,202307,229,True,False
